School name,State,City,Degree of urbanization,Number of applicants,Has Early Decision (ED) Plan?,Has Early Action (EA) Plan?,Acceptance rate,ED admit rate,EA admit rate,RD admit rate,Average GPA,GPA Weighted,Percent of students with GPA (4.0+),Percent of students with GPA (3.75-3.99),Percent of students with GPA (3.00-3.24),Percent of students with GPA (3.25-3.49),Percent of students with GPA (2.00-2.49),Percent of students with GPA (Below 1.00),Percent of students with GPA (2.50-2.99),Percent of students with GPA (3.50-3.74),ACT Composite 25th,ACT Composite 50th,ACT Composite 75th,ACT English 75th,ACT Reading 75th,ACT Reading 50th,ACT English 50th,ACT English 25th,ACT Reading 25th,ACT Math 25th,ACT Science 25th,ACT Science 50th,ACT Math 50th,ACT Math 75th,ACT Science 75th,Percentage of enrolled freshmen submitting ACT scores,SAT Reading 25th,SAT Reading 50th,SAT Reading 75th,SAT Math 75th,SAT Composite 50th,SAT Composite 75th,SAT Math 50th,SAT Math 25th,SAT Composite 25th,Percentage of enrolled freshmen submitting SAT scores,Percent Women,Percent Men,Percent Non-binary,Percent Hispanic/Latino,Percent Black or African American,Percent White or Caucasian,Percent American Indian or Alaska Native,Percent Asian,Percent Native Hawaiian or Pacific Islander,Percent Other,Published in-state tuition and fees,Published out-of-state tuition and fees,Total price for in-state students living on campus,Number of men enrolled,Number of women enrolled,Number of students enrolled,Estimated undergraduate enrollment full time,4 year graduation rate,Retention rate,6 year graduation rate,Average Aid Package: Freshmen without need receiving merit-based scholarships and grants (dollar amt),Average Aid Package: Freshmen without need receiving merit-based scholarships and grants (percentage),Average amount of institutional grant aid received by full-time first-time undergraduates,Average net price-students receiving grant or scholarship aid,Average amount of other federal grant aid received by full-time first-time undergraduates,Average amount of Pell grant aid received by full-time first-time undergraduates,Average amount of state/local grant aid received by full-time first-time undergraduates,Average amount of student loan aid received by full-time first-time undergraduates,Average amount of federal student loan aid received by full-time first-time undergraduates,Average amount of other student loan aid received by full-time first-time undergraduates,Average amount of federal  state  local or institutional grant aid received,Percent of full-time first-time undergraduates receiving any financial aid,Percent of full-time first-time undergraduates receiving federal state local or institutional grant aid,Percent of full-time first-time undergraduates receiving other federal grant aid,Percent of full-time first-time undergraduates receiving state/local grant aid,Percent of full-time first-time undergraduates receiving Pell grants,Percent of full-time first-time undergraduates receiving any loans to students or grant aid  from federal state/local government or the institution,Percent of full-time first-time undergraduates receiving institutional grant aid,Percent of full-time first-time undergraduates receiving federal student loans,Percent of full-time first-time undergraduates receiving student loan aid,Percent of full-time first-time undergraduates receiving other loan aid,Percent of full-time first-time undergraduates  receiving federal grant aid,Average net price (income over 110 000),"Average net price (income 75,001-110,000)","Average net price (income 48,001-75,000)","Average net price (income 30,001-48,000)","Average net price (income 0-30,000)",Student
Colgate University,NY,Hamilton,Town: Distant,"20,682",Yes,No,14%,19%,---,13%,3.85,No,26.79%,41.70%,1.45%,6.67%,---,---,0.12%,23.27%,33,33,34,35,---,---,35,34,---,30,---,---,31,34,---,14%,710,730,760,780,1480,1530,750,720,1430,23%,56%,44%,---,10%,5%,70%,---,6%,---,9%,"$73,646","$73,646","$95,560",358,462,807,"3,193",84%,93%,91%,---,---,"$55,010","$26,954","$3,000","$5,436","$2,567","$9,807","$4,674","$24,495","$56,696",50%,43%,3%,6%,12%,46%,43%,13%,15%,4%,12%,"$53,119","$31,027","$17,685","$9,345","$3,341",
College of Charleston,SC,Charleston,City: Midsize,"31,680",Yes,Yes,60%,53%,80%,24%,4,No,48.20%,19.30%,4.60%,9%,0.10%,---,2.80%,15.90%,25,27,30,31,---,---,26,24,---,21,---,---,25,27,---,11%,590,620,670,640,1210,1300,590,550,1130,18%,74%,26%,---,8%,5%,80%,---,2%,---,5%,"$12,978","$38,844","$35,163",581,"1,679","2,637","10,880",56%,82%,66%,"$12,572",90%,"$7,020","$20,806",$979,"$4,981","$5,367","$10,072","$5,228","$24,264","$9,811",87%,81%,4%,44%,20%,86%,65%,48%,49%,10%,20%,"$24,730","$23,178","$18,049","$13,418","$13,017",
College of Coastal Georgia,GA,Brunswick,City: Small,"2,627",---,No,98%,---,---,98%,3.2,No,4.57%,15.05%,18.01%,15.32%,9.41%,---,23.92%,13.31%,14,18,23,22,---,---,17,15.25,---,17,---,---,17,20,---,5%,465,530,570,530,1015,1165,485,410,900,9%,71%,29%,---,10%,21%,59%,1%,2%,---,8%,"$4,598","$13,988","$28,280",196,470,714,"3,468",13%,59%,26%,$697,12%,"$2,880","$12,670","$1,205","$5,445","$2,893","$5,804","$4,627","$6,359","$6,148",88%,85%,16%,52%,51%,88%,24%,39%,40%,8%,53%,"$16,608","$16,374","$14,440","$11,811","$10,793",
College of Saint Mary,NE,Omaha,City: Large,430,---,---,44%,---,---,44%,3.4,No,---,25%,13%,22%,2%,---,15%,23%,18,22,24,26,---,---,22,16,---,16,---,---,21,23,---,75%,---,---,---,---,---,---,---,---,---,---,100%,---,---,12%,7%,60%,---,2%,---,18%,"$27,294","$27,294","$43,332",---,89,89,496,53%,71%,67%,"$9,824",96%,"$15,852","$14,265","$1,576","$5,466","$2,723","$6,003","$4,786","$11,687","$19,829",100%,100%,40%,28%,41%,100%,100%,55%,55%,6%,41%,"$22,739","$19,478","$10,242","$10,749","$9,936",
College of Southern Nevada,NV,Las Vegas,City: Large,506,No,No,48%,---,---,48%,---,No,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,54%,46%,---,41%,11%,25%,---,9%,1%,13%,"$4,422","$13,322","$25,789","1,550","1,796",---,"29,081",---,---,---,---,---,"$2,729","$7,293","$2,128","$4,145","$1,999","$3,523","$3,427","$7,881","$5,598",81%,78%,9%,52%,53%,80%,14%,10%,10%,---,54%,"$12,804","$11,224","$8,451","$5,908","$5,180",
College of the Atlantic,ME,Bar Harbor,Town: Remote,476,Yes,Yes,70%,64%,84%,61%,3.8,No,25%,34%,7%,9%,---,---,2%,23%,28,---,32,---,---,---,---,---,---,---,---,---,---,---,---,4%,660,---,730,700,---,---,---,580,---,21%,72%,28%,---,5%,1%,87%,---,1%,---,5%,"$49,464","$49,464","$61,940",21,55,81,353,58%,85%,69%,"$13,905",100%,"$32,485","$22,692",$750,"$4,947","$2,512","$6,554","$5,100","$14,247","$33,884",98%,98%,7%,4%,24%,98%,98%,52%,52%,5%,24%,"$35,148","$24,880","$14,569","$12,998","$11,886",
College of the Holy Cross,MA,Worcester,City: Midsize,"9,568",Yes,No,18%,60%,---,13%,---,---,---,---,---,---,---,---,---,---,27,30,32,34,---,---,31,25,---,25,---,---,28,29,---,15%,630,680,710,700,1340,1420,660,610,1250,30%,55%,45%,---,13%,5%,70%,---,3%,---,8%,"$68,090","$68,090","$89,748",374,460,823,"3,107",85%,95%,87%,"$24,796",15%,"$39,249","$35,455","$3,918","$5,360","$3,822","$5,241","$4,406","$2,332","$41,140",67%,58%,7%,8%,13%,63%,58%,33%,33%,12%,13%,"$51,228","$29,535","$20,722","$6,282","$14,900",
Colorado College,CO,Colorado Springs,City: Large,"8,511",Yes,Yes,18%,32%,21%,13%,3.95,No,45.20%,27%,2.40%,9.10%,0.20%,---,0.50%,15.60%,29,32,33,35,---,---,34,29,---,25,---,---,30,31,---,16%,640,730,730,730,1450,1520,720,590,1365,29%,50%,48%,3%,11%,2%,71%,---,5%,---,9%,"$73,566","$73,566","$94,500",229,240,517,"2,031",71%,94%,88%,"$12,776",15%,"$46,019","$35,281","$4,000","$5,435","$4,844","$8,053","$5,026","$33,506","$47,947",62%,56%,5%,3%,13%,60%,56%,26%,27%,3%,13%,"$51,525","$25,254","$17,051","$13,987","$9,732",
Colorado Mesa University,CO,Grand Junction,City: Small,"10,380",No,No,98%,---,---,98%,3.34,No,---,32%,13%,11%,9%,---,18%,14%,19,22,26,25,---,---,21,18,---,17,---,---,21,25,---,10%,470,540,600,580,1060,1180,520,460,930,49%,52%,48%,---,21%,1%,64%,1%,2%,---,11%,"$10,614","$27,204","$30,120","1,043","1,141","1,806","9,473",28%,79%,47%,"$4,625",44%,"$4,783","$15,076","$2,762","$5,346","$4,920","$5,920","$4,856","$12,975","$7,698",90%,81%,6%,38%,33%,88%,52%,42%,43%,4%,35%,"$20,288","$18,182","$15,061","$11,755","$11,547",
Colorado School of Mines,CO,Golden,Suburb: Large,"9,794",Yes,No,60%,---,---,60%,3.83,No,---,76%,---,4%,---,---,---,20%,29,31,33,34,---,---,32,28,---,28,---,---,31,33,---,18%,650,690,720,750,1400,1470,710,670,1320,42%,33%,65%,2%,13%,1%,70%,1%,7%,---,8%,"$22,658","$47,288","$45,522",959,491,"1,450","5,852",65%,93%,80%,"$8,652",88%,"$10,081","$29,785","$3,557","$4,756","$3,792","$9,759","$5,164","$25,017","$11,204",97%,94%,---,10%,13%,96%,93%,36%,38%,7%,13%,"$33,931","$30,370","$25,347","$19,616","$19,231",
Colorado State University Pueblo,CO,Pueblo,City: Midsize,"3,577",No,No,98%,---,---,98%,3.19,No,19.10%,11.60%,8.30%,10.70%,13.60%,0.20%,17.60%,10.90%,19,22,25,24,---,---,21,17,---,16,---,---,21,27,---,3%,450,500,565,540,990,1100,490,420,870,45%,54%,46%,---,40%,7%,43%,1%,2%,---,7%,"$10,552","$19,063","$27,298",252,292,678,"5,086",24%,64%,40%,"$7,222",85%,"$6,338","$14,188",$747,"$4,907","$4,439","$6,502","$5,148","$10,639","$10,736",97%,97%,22%,48%,50%,97%,86%,36%,37%,5%,50%,"$19,746","$18,690","$13,322","$11,346","$9,687",
Colorado State University-Fort Collins,CO,Fort Collins,City: Midsize,"38,520",No,Yes,89%,---,89%,77%,3.69,No,30.10%,17.80%,12.60%,14.30%,0.10%,---,8.30%,16.90%,22,---,29,29,---,---,---,21,---,20,---,---,---,27,---,7%,540,---,660,630,---,---,---,520,---,28%,57%,43%,---,16%,3%,71%,1%,3%,---,6%,"$13,373","$34,783","$35,321","2,249","3,028","5,293","26,500",46%,86%,67%,"$5,327",54%,"$8,217","$19,828","$1,872","$5,016","$4,991","$9,180","$5,078","$20,937","$10,554",74%,71%,12%,13%,19%,73%,69%,36%,38%,8%,19%,"$28,684","$23,048","$14,611","$11,654","$11,333",
Colorado Technical University-Colorado Springs,---,Colorado Springs,---,---,No,No,---,---,---,---,---,No,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,76%,24%,---,---,21%,28%,1%,1%,---,49%,"$12,915","$12,915","$26,387",209,680,---,"26,114",14%,44%,17%,---,67%,"$2,972","$14,784","$1,800","$5,227","$1,875","$6,753","$6,753",---,"$6,956",95%,94%,10%,---,89%,95%,19%,87%,87%,---,89%,"$20,223","$17,976","$16,508","$15,345","$14,778",
Columbia Basin College,WA,Pasco,Suburb: Midsize,"6,771",Yes,Yes,90%,---,---,90%,---,No,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,57%,43%,---,52%,1%,34%,---,2%,---,10%,"$5,460","$7,806","$28,044",415,550,---,"6,729",---,58%,---,---,---,"$1,617","$10,348",$732,"$4,393","$3,785","$5,050","$4,325","$11,031","$6,754",62%,60%,4%,48%,38%,61%,29%,3%,4%,---,38%,"$16,108","$10,305","$8,973","$7,965","$7,480",
Columbia College Hollywood,CA,Tarzana,City: Large,306,No,No,51%,---,---,51%,3.2,No,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,50%,50%,---,9%,19%,41%,3%,9%,1%,18%,"$25,490","$25,490","$55,568",2,2,---,149,32%,36%,46%,---,---,"$1,943","$35,614","$2,009","$2,593",---,"$2,750","$2,750",---,"$4,665",82%,82%,82%,---,27%,82%,82%,36%,36%,---,82%,"$30,319",---,"$30,758","$27,458","$30,658",
Columbia University in the City of New York,NY,New York,City: Large,"60,247",Yes,No,4%,13%,---,3%,---,---,---,---,---,---,---,---,---,---,34,35,36,36,---,---,35,35,---,33,---,---,34,36,---,17%,740,760,780,800,1540,1570,780,770,1490,44%,52%,46%,2%,20%,10%,32%,---,26%,---,12%,"$73,450","$73,450","$95,650",688,767,"1,540","9,157",82%,98%,96%,---,---,"$61,951","$20,869","$3,932","$5,511","$4,798","$14,737","$5,103","$35,376","$65,173",56%,52%,12%,6%,22%,53%,51%,6%,7%,2%,22%,"$44,695","$15,368","$5,195","$4,975","$6,342",
Concordia University-Irvine,CA,Irvine,City: Large,"4,413",No,Yes,66%,---,---,66%,3.7,No,34%,17%,13%,13%,---,---,7%,15%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,58%,42%,---,31%,4%,45%,---,10%,1%,9%,"$44,500","$44,500","$59,054",143,194,290,"1,554",49%,75%,58%,"$17,787",63%,"$23,226","$29,413",$909,"$4,948","$7,727","$8,666","$5,126","$18,711","$26,988",100%,100%,11%,28%,30%,100%,100%,54%,54%,10%,30%,"$33,909","$28,615","$25,220","$21,767","$23,532",
Connecticut College,CT,New London,City: Small,"7,950",Yes,No,37%,41%,---,37%,3.81,No,---,59%,5%,12%,---,---,2%,21%,28,32,32,35,---,---,34,32,---,28,---,---,29,31,---,12%,590,710,710,690,1400,1470,690,560,1340,54%,61%,39%,---,12%,5%,72%,---,3%,---,7%,"$70,266","$70,266","$91,660",178,273,555,"1,990",75%,90%,82%,"$28,097",106%,"$38,506","$42,941",$887,"$5,318","$3,413","$10,063","$5,059","$26,735","$39,354",100%,100%,11%,1%,13%,100%,100%,35%,36%,7%,13%,"$44,604","$30,787","$26,760","$20,097","$13,666",
Corban University,OR,Salem,City: Midsize,546,No,No,90%,---,---,90%,3.53,No,---,---,---,---,---,---,---,---,19,---,26,---,---,---,---,---,---,---,---,---,---,---,---,29%,---,---,---,---,---,---,---,---,---,---,58%,42%,---,15%,2%,61%,---,2%,1%,18%,"$38,234","$38,234","$55,294",59,80,140,785,54%,82%,62%,"$4,827",45%,"$22,128","$26,028","$3,182","$4,957","$3,954","$8,852","$5,126","$16,938","$24,358",100%,100%,5%,18%,33%,100%,99%,56%,57%,13%,33%,"$32,241","$24,879","$21,052","$19,113","$18,196",
Cornell University,NY,Ithaca,City: Small,"65,612",Yes,No,8%,12%,---,8%,---,---,---,---,---,---,---,---,---,---,33,34,35,35,---,---,35,34,---,32,---,---,34,35,---,14.60%,730,740,770,800,1520,1560,780,770,1480,44.90%,53%,47%,---,16%,8%,34%,---,29%,---,13%,"$72,270","$72,270","$96,268","1,649","1,876","3,537","16,128",87%,98%,96%,---,---,"$55,091","$26,455","$3,984","$5,493","$3,557","$8,574","$4,122","$8,260","$56,741",60%,51%,9%,14%,19%,57%,49%,27%,29%,16%,19%,"$51,735","$18,531","$8,129","$5,589","$4,079",
Cornish College of the Arts,WA,Seattle,City: Large,"1,097",No,Yes,70%,---,---,70%,---,No,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,67%,26%,7%,1%,5%,68%,1%,5%,---,21%,"$58,966","$58,966","$79,864",45,118,163,502,49%,69%,53%,---,---,"$10,935","$40,164","$1,774","$5,017","$8,969","$9,121","$5,677","$24,941","$15,023",100%,100%,19%,24%,31%,100%,100%,85%,86%,12%,31%,"$44,405","$40,853","$36,693","$30,948","$28,155",
Cottey College,MO,Nevada,Town: Remote,645,No,No,70%,---,---,70%,3.5,No,8%,33%,7%,18%,6%,---,10%,18%,14,24,24,25,---,---,22,15,---,15,---,---,18,19,---,8%,---,---,---,---,---,---,---,---,---,---,100%,---,---,13%,7%,73%,3%,2%,---,1%,"$29,594","$29,594","$49,816",---,82,66,261,44%,67%,52%,"$16,600",---,"$15,530","$18,430",$800,"$4,950","$2,960","$6,032","$5,249","$9,153","$18,402",100%,100%,16%,22%,44%,100%,100%,49%,52%,6%,45%,"$20,118","$18,591","$18,588","$16,718","$17,399",
Curry College,MA,Milton,Suburb: Large,"6,903",No,Yes,92%,---,81%,97%,3.01,No,---,13.67%,16.94%,9.80%,23.27%,---,22.04%,14.29%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,510,560,630,610,1130,1240,570,510,1020,6%,55%,45%,---,12%,14%,62%,---,2%,---,10%,"$49,420","$49,420","$71,840",234,289,524,"1,818",45%,68%,52%,"$27,458",98%,"$28,550","$30,367",$293,"$5,326","$2,507","$10,760","$5,632","$14,178","$31,376",100%,100%,37%,29%,37%,100%,100%,79%,80%,29%,37%,"$32,878","$32,212","$28,670","$24,290","$23,553",
Curtis Institute of Music,PA,Philadelphia,City: Large,446,No,No,7%,---,---,7%,---,No,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,44%,56%,---,8%,5%,51%,2%,20%,---,14%,"$57,864","$57,864","$81,572",14,11,25,106,67%,97%,92%,---,---,"$8,796","$21,615",---,"$6,895",---,---,---,---,"$8,796",100%,100%,---,---,---,100%,100%,---,---,---,---,---,---,---,---,---,
Cypress College,CA,Cypress,Suburb: Large,306,No,No,51%,---,---,51%,---,No,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,56%,44%,---,55%,4%,12%,---,21%,---,7%,"$1,432","$13,042","$33,507",796,"1,011",---,"13,992",---,---,---,---,---,$233,"$7,730",$564,"$4,354","$4,163","$7,423","$7,423",---,"$7,660",89%,88%,17%,88%,56%,88%,---,---,---,---,56%,"$10,011","$11,710","$7,220","$3,092","$4,205",
Daemen University,NY,Amherst,Suburb: Large,"3,406",No,Yes,74%,---,---,74%,3.56,No,---,42%,4%,10%,3%,---,7%,33%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,75%,25%,---,6%,8%,75%,1%,4%,---,5%,"$36,734","$36,734","$53,648",73,219,375,"1,656",47%,76%,59%,"$18,467",72%,"$21,188","$18,944",$916,"$5,879","$3,432","$8,350","$5,459","$12,793","$25,136",100%,100%,27%,45%,42%,100%,100%,78%,79%,18%,42%,"$25,038","$20,603","$16,325","$11,562","$10,602",
Dartmouth College,NH,Hanover,Town: Remote,"31,656",Yes,No,5%,19%,---,4%,---,---,---,---,---,---,---,---,---,---,33,34,35,36,---,---,35,35,---,31,---,---,34,35,---,23%,740,760,780,790,1540,1570,780,760,1500,43%,47%,52%,2%,12%,7%,52%,1%,15%,---,12%,"$71,265","$71,265","$95,588",612,554,"1,206","4,570",74%,98%,95%,---,---,"$64,165","$17,322","$3,879","$5,330","$3,498","$6,152","$5,122","$5,447","$66,480",59%,46%,11%,---,15%,50%,45%,12%,43%,37%,15%,"$51,575","$13,426","$5,841",---,"$2,978",
Davidson College,NC,Davidson,Suburb: Large,"8,114",Yes,No,13%,32%,---,10%,3.86,No,40.55%,32.82%,0.19%,5.21%,---,---,0.19%,21.04%,31,32,34,---,---,---,---,---,---,---,---,---,---,---,---,23.30%,695,725,750,780,1455,1510,730,705,1360,28.30%,52%,48%,---,12%,8%,68%,---,6%,---,6%,"$69,065","$69,065","$90,274",252,268,519,"1,869",85%,95%,91%,"$41,262",8%,"$47,295","$26,510","$3,871","$5,327","$7,278","$8,446","$5,010","$22,281","$49,355",69%,65%,4%,5%,17%,66%,65%,10%,11%,2%,17%,"$40,503","$25,077","$7,610","$3,339","$6,613",
Delta State University,MS,Cleveland,Town: Remote,"1,231",No,No,100%,---,---,100%,3.41,No,11.52%,16.59%,18.89%,11.52%,5.07%,---,15.21%,20.74%,17,21,23,23,---,---,21,15,---,16,---,---,18,23,---,85%,475,550,590,620,1100,1190,550,450,940,8%,43%,57%,---,3%,42%,51%,---,1%,---,3%,"$8,605","$8,605","$23,289",119,91,218,"1,876",31%,67%,48%,"$4,958",64%,"$6,423","$13,457","$1,017","$5,538","$2,069","$7,448","$5,583","$13,470","$8,658",98%,94%,11%,32%,43%,97%,75%,52%,54%,8%,44%,"$17,117","$17,418","$15,514","$11,200","$11,183",
Denison University,OH,Granville,Suburb: Small,"14,580",Yes,No,17%,22%,---,16%,---,No,---,---,---,---,---,---,---,---,29,31,32,34,---,---,33,29,---,26,---,---,28,30,---,25%,650,680,710,760,1380,1470,700,650,1300,26%,54%,46%,---,9%,7%,73%,---,5%,---,7%,"$71,000","$71,000","$88,400",292,344,636,"2,406",72%,89%,80%,"$18,758",86%,"$33,722","$42,177","$1,500","$5,504","$3,975","$7,227","$5,498","$24,339","$34,723",96%,95%,9%,2%,13%,96%,95%,57%,57%,4%,13%,"$46,510","$29,492","$15,451","$12,775","$15,093",
Denver College of Nursing,---,Denver,---,8,---,---,88%,---,---,88%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,20%,14%,50%,1%,7%,1%,8%,"$16,157","$16,157","$17,877",---,---,---,949,---,---,---,---,---,---,---,---,"$5,002",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,
DePaul University,IL,Chicago,City: Large,"31,266",No,Yes,76%,---,---,76%,3.78,No,36.20%,20.39%,8.21%,11.02%,0.95%,---,8.13%,15.06%,24,28,30,32,---,---,29,23,---,21,---,---,26,27,---,14.15%,550,630,660,650,1230,1340,600,530,1130,41.70%,56%,44%,---,26%,8%,46%,---,13%,---,6%,"$47,676","$47,676","$72,174","1,115","1,440","2,943","14,188",54%,86%,68%,"$20,876",95%,"$24,057","$32,129","$4,320","$4,832","$6,740","$7,047","$5,083","$20,505","$27,782",99%,99%,4%,29%,31%,99%,99%,49%,50%,5%,31%,"$35,894","$30,294","$26,576","$24,181","$23,758",
DePauw University,IN,Greencastle,Town: Distant,"6,683",Yes,Yes,57%,---,---,57%,3.92,No,42%,28%,5%,10%,---,---,1%,14%,25,29,31,33,---,---,28,25,---,24,---,---,28,30,---,18%,560,630,675,695,1280,1430,650,560,1140,58%,49%,51%,---,11%,8%,73%,---,3%,---,5%,"$61,430","$61,430","$80,620",260,245,500,"1,917",69%,90%,76%,"$39,482",97%,"$40,641","$30,507","$1,900","$5,260","$6,487","$6,516","$4,667","$18,238","$42,053",100%,100%,7%,8%,15%,100%,100%,36%,37%,4%,15%,"$33,816","$24,646","$17,459","$16,184","$12,267",
Design Institute of San Diego,---,San Diego,---,8,Yes,No,88%,---,---,88%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,100%,---,---,16%,11%,49%,4%,9%,2%,10%,"$29,250","$29,250","$29,250",---,1,2,92,33%,71%,83%,---,---,"$2,268","$27,693",$517,"$6,571","$9,399","$7,670","$7,670",---,"$14,400",100%,75%,75%,38%,75%,100%,63%,63%,63%,---,75%,"$42,093","$25,392",---,---,"$28,154",
Dickinson College,PA,Carlisle,City: Small,"7,258",Yes,No,42%,51%,---,41%,3.62,No,8%,37%,9%,10%,1%,---,5%,29%,30,---,33,30,---,---,---,25,---,30,---,---,---,35,---,13%,670,---,740,720,---,---,---,640,---,23%,59%,41%,---,9%,4%,76%,---,5%,---,6%,"$68,580","$68,580","$89,772",268,378,525,"2,311",67%,92%,80%,"$32,586",89%,"$39,234","$40,242","$1,186","$5,115","$3,797","$7,537","$5,065","$9,713","$40,209",95%,94%,10%,7%,11%,95%,94%,35%,45%,17%,11%,"$43,766","$21,727","$16,348","$15,148","$17,167",
DigiPen Institute of Technology,---,Redmond,---,503,---,---,67%,---,---,67%,---,---,---,---,---,---,---,---,---,---,28,31,32,33,---,---,28,26,---,26,---,---,28,30,---,10%,590,650,700,690,1270,1390,620,580,1170,45%,37%,63%,---,11%,---,13%,3%,---,60%,13%,"$40,070","$40,070","$65,302",97,56,192,"1,016",44%,76%,61%,"$9,628",35%,"$7,734","$40,015","$1,592","$5,375","$8,361","$10,630","$4,933","$28,978","$11,720",78%,58%,7%,17%,23%,75%,51%,54%,55%,11%,23%,"$48,574","$46,250","$36,920","$35,891","$31,681",
Dine College,AZ,Tsaile,Rural: Remote,"47,978",No,No,60%,---,---,60%,---,No,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,62%,38%,---,1%,---,---,99%,---,---,---,"$1,410","$1,410","$12,700",42,68,---,"1,828",---,33%,---,---,---,"$3,017","$10,354","$1,724","$2,801","$3,834",---,---,---,"$6,403",67%,67%,61%,9%,62%,67%,30%,---,---,---,67%,---,"$12,999","$11,225","$9,877","$10,031",
Dominican University of California,CA,San Rafael,City: Small,"1,785",No,No,84%,---,---,84%,3.65,No,26%,24%,9%,12%,2%,---,9%,20%,21,24,26.25,27,---,---,22,20,---,25,---,---,28,26,---,1%,620,605,660,640,1195,1291,590,590,1070,2%,70%,30%,---,33%,6%,21%,---,31%,1%,7%,"$53,700","$53,700","$74,304",63,150,250,"1,127",64%,86%,77%,"$22,592",95%,"$14,927","$51,292","$1,093","$2,617","$4,634","$4,356","$2,689","$12,376","$17,287",100%,99%,15%,30%,31%,100%,99%,58%,59%,8%,31%,"$54,480","$49,460","$46,242","$46,430","$45,630",
Drew University,NJ,Madison,Suburb: Large,"5,024",Yes,Yes,68%,---,---,68%,3.53,No,19%,17%,11%,22%,2%,---,6%,22%,24,27,30,31,---,---,29,21,---,19,---,---,25,27,---,2%,570,620,688,650,1240,1320,620,533,1110,23%,54%,46%,---,8%,12%,62%,1%,4%,---,12%,"$49,100","$49,100","$67,604",168,198,404,"1,611",62%,88%,70%,"$24,014",91%,"$28,129","$28,193","$1,216","$5,404","$11,502","$10,428","$7,833","$17,197","$33,097",99%,98%,17%,26%,30%,99%,98%,66%,67%,10%,30%,"$34,219","$28,090","$19,926","$20,060","$13,177",
Drexel University,PA,Philadelphia,City: Large,"37,314",Yes,Yes,79%,92%,---,79%,3.75,No,31%,22%,10%,13%,---,---,5%,20%,27,30,32,34,---,---,31,26,---,26,---,---,27,31,---,5%,620,660,700,740,1330,1430,670,620,1230,34%,45%,52%,3%,10%,11%,44%,---,27%,---,7%,"$64,212","$64,212","$86,243","1,252","1,067","2,883","13,169",31%,90%,78%,"$23,607",97%,"$31,109","$42,342","$1,198","$5,323","$4,865","$10,831","$5,291","$31,308","$33,654",99%,99%,17%,15%,29%,99%,99%,60%,61%,11%,29%,"$47,490","$39,204","$35,842","$29,749","$27,737",
Duke University,NC,Durham,City: Large,"51,795",Yes,No,6%,17%,---,4%,---,---,---,---,---,---,---,---,---,---,34,34,35,36,---,---,35,35,---,33,---,---,34,35,---,29.79%,740,760,770,800,1550,1570,790,780,1510,47.30%,53%,47%,---,12%,10%,39%,---,24%,---,14%,"$72,795","$72,795","$96,434",824,916,"1,742","6,523",86%,98%,97%,"$85,600",2%,"$56,922","$23,422","$3,968","$5,279","$6,611","$11,551","$4,426","$34,387","$59,327",56%,41%,10%,2%,11%,44%,41%,15%,16%,3%,11%,"$54,375","$16,487","$6,901",$242,"$3,295",
Duquesne University,PA,Pittsburgh,City: Large,"12,893",No,Yes,84%,---,86%,78%,3.79,No,34.22%,21.42%,7.09%,12.06%,0.58%,---,4.02%,20.54%,26,27,32,33,---,---,28,29,---,25,---,---,26,30,---,4%,600,630,670,670,1250,1350,620,580,1160,20%,63%,37%,---,6%,6%,80%,---,4%,---,5%,"$51,068","$51,068","$73,626",532,907,"1,477","5,371",67%,84%,77%,"$22,476",60%,"$25,503","$35,125",$802,"$4,997","$4,594","$13,945","$5,389","$22,354","$27,980",100%,100%,21%,27%,21%,100%,100%,61%,64%,25%,21%,"$38,975","$35,852","$31,920","$27,610","$25,943",
